id,wid,title,appeal
3e81719e-9141-11e8-a661-784f4355e448,67,news.livedoor.com,3
432b2028-9141-11e8-a900-784f4355e448,11,humblebundle.com,7
46797bda-9141-11e8-bd43-784f4355e448,55,lomake.fi,2
4a207c48-9141-11e8-ae72-784f4355e448,69,tokai-tv.com,3
4d33a194-9141-11e8-9249-784f4355e448,41,steakland.jp,4
5034b068-9141-11e8-bfa4-784f4355e448,85,cps.com.cn,3
5346cc6e-9141-11e8-9510-784f4355e448,42,showroomprive.com,5
566df3f4-9141-11e8-9121-784f4355e448,65,pantone.com,7
595ccdf6-9141-11e8-83bf-784f4355e448,23,hdpfans.com,6
5cbdea8c-9141-11e8-850f-784f4355e448,40,bluewood.bitter.jp,7
606a0c8a-9141-11e8-b68f-784f4355e448,92,dna.fr,4
638e5380-9141-11e8-9eed-784f4355e448,57,bgmaimuna.com,5
667ab37a-9141-11e8-9ea2-784f4355e448,4,makeitok.org,5
6972e16c-9141-11e8-8c54-784f4355e448,8,huxiu.com,6
6c7862f6-9141-11e8-ae36-784f4355e448,44,filetender.com,8
6f4cfea6-9141-11e8-84c9-784f4355e448,1,mozilla.org,7
72af7c74-9141-11e8-a330-784f4355e448,32,gingerweb.jp,6
75df2f3a-9141-11e8-b61e-784f4355e448,58,0dt.net,4
79adba52-9141-11e8-a46f-784f4355e448,6,wikipedia.org,7
7cc2d33a-9141-11e8-a1bf-784f4355e448,87,jfc.or.jp,3
7fd04422-9141-11e8-b27f-784f4355e448,70,life-is-tech.com,6
82e32206-9141-11e8-ba67-784f4355e448,47,blog.yitianshijie.net,7
8611d17a-9141-11e8-ad29-784f4355e448,21,javadrive.jp,4
890f2ce2-9141-11e8-9e4b-784f4355e448,17,nounplus.net,5
8c2612c6-9141-11e8-960c-784f4355e448,39,coming-saji.com,3
8f520930-9141-11e8-9171-784f4355e448,83,19lou.com,4
92d0b46c-9141-11e8-bbd9-784f4355e448,50,52nlp.cn,5
95bbab64-9141-11e8-b621-784f4355e448,16,labinthewild.org,7
99072b68-9141-11e8-8e59-784f4355e448,27,runoob.com,6
9c4437f8-9141-11e8-a1a5-784f4355e448,29,journaldugeek.com,4
9ffeec9e-9141-11e8-906b-784f4355e448,53,blog.whatsapp.com,7
a92db23a-9141-11e8-9678-784f4355e448,79,tech-camp.in,5
ac3bd846-9141-11e8-b9d1-784f4355e448,76,kenkun-jinja.org,3
afbd91c6-9141-11e8-b6eb-784f4355e448,51,guidetojapanese.org,6
b2c09ff8-9141-11e8-98c7-784f4355e448,37,sekimoto.dental,5
b5b2243e-9141-11e8-a1d7-784f4355e448,94,cvpr2018.thecvf.com,6
b8a6ce06-9141-11e8-86b1-784f4355e448,61,docs.opencv.org,5
bb871914-9141-11e8-bd01-784f4355e448,71,bloomberg.co.jp,4
beaa2de8-9141-11e8-aeae-784f4355e448,49,qiita.com,4
c1aef398-9141-11e8-a881-784f4355e448,91,jcr.incites.thomsonreuters.com,7
c4c4a94c-9141-11e8-8bba-784f4355e448,86,hea.cn,6
c80f1ede-9141-11e8-8302-784f4355e448,15,opera.com,6
cb4813c6-9141-11e8-a838-784f4355e448,2,two-n.com,7
ce4a94d8-9141-11e8-b555-784f4355e448,43,imas-cg.net,4
d1444574-9141-11e8-b40b-784f4355e448,88,trafst.jp,2
d45d9076-9141-11e8-870d-784f4355e448,56,theclinic.cl,4
d764efe4-9141-11e8-8de4-784f4355e448,7,news.yahoo.co.jp,3
da6d2ef4-9141-11e8-8a4c-784f4355e448,12,theatlantic.com,6
dd67fe40-9141-11e8-a7ea-784f4355e448,28,tensorfly.cn,7
e04cd8c6-9141-11e8-bad9-784f4355e448,38,kokage-m.com,3
e31a7a70-9141-11e8-9027-784f4355e448,93,macg.co,5
e63ce06c-9141-11e8-85a1-784f4355e448,52,olderadults.mobi,8
e955732c-9141-11e8-8d08-784f4355e448,0,theboneandjointcenter.com,5
ed3cc628-9141-11e8-84d6-784f4355e448,30,matetranslate.com,6
f0b9053e-9141-11e8-8e95-784f4355e448,90,secure.j-bus.co.jp,4
f44ca5fa-9141-11e8-aec4-784f4355e448,84,jiankang.com,7
f780e3fa-9141-11e8-b6f1-784f4355e448,33,cp.pocky.jp,6
fa71cc98-9141-11e8-934b-784f4355e448,10,cheshi.com,4
fded15c6-9141-11e8-a673-784f4355e448,89,infoq.com,6
011de7dc-9142-11e8-b406-784f4355e448,77,sankei.com,3
044faff8-9142-11e8-8a1f-784f4355e448,59,web.ics.purdue.edu,2
072bdc4c-9142-11e8-b206-784f4355e448,99,theborneopost.com,4
0a99b0a2-9142-11e8-9ef0-784f4355e448,74,jp.techcrunch.com,4
